position,id,gender,education,salary,begin_salary,jobtime,age
employee,298,0,12,24600,13500,78,40
employee,424,0,15,31350,11100,67,40
employee,433,1,12,33540,15750,66,40
employee,8,0,12,21900,9750,98,40
employee,299,0,15,32550,18000,78,41
employee,227,0,12,33900,12000,82,41
manager,413,0,16,43500,19500,68,41
manager,276,1,16,56500,21000,79,41
employee,319,1,15,43410,15750,76,41
manager,406,1,17,60000,32490,68,41
employee,105,1,15,31650,13500,91,41
manager,454,1,19,90625,31250,65,41
manager,449,1,16,70000,21750,65,41
manager,277,0,16,43000,17490,79,41
employee,122,0,15,32550,13500,90,41
employee,164,0,15,29400,16500,86,41
employee,293,1,15,25050,14250,78,41
employee,163,1,15,30900,15000,86,41
employee,12,1,8,28350,12000,98,41
employee,140,0,12,22350,13500,88,41
manager,458,1,19,61875,28740,65,41
employee,351,0,12,27900,13500,73,41
manager,468,0,16,55750,19980,64,41
employee,169,1,12,25500,14400,86,41
employee,269,1,15,40200,17250,79,41
employee,418,1,15,31200,15750,67,41
employee,472,1,15,39150,15750,63,41
employee,356,1,15,28350,15000,72,41
employee,407,1,15,30300,15750,68,41
employee,377,1,15,25350,15750,70,41
employee,212,1,15,38400,16500,83,41
employee,436,1,12,30270,15750,66,41
employee,75,0,15,24150,11550,93,41
employee,58,0,15,26400,13500,94,42
manager,231,1,16,40200,21000,81,42
employee,226,0,16,23250,15750,82,42
employee,333,0,15,37050,18000,75,42
employee,416,1,15,35250,13500,67,42
manager,120,0,16,37800,15750,90,42
employee,158,0,12,27750,12000,87,42
manager,274,1,16,83750,21750,79,42
employee,327,1,12,26700,15750,76,42
employee,287,1,16,40350,19500,78,42
employee,16,1,12,40800,15000,97,42
manager,289,1,17,65000,30750,78,42
employee,332,0,16,33000,18000,75,42
employee,179,1,12,25200,13050,85,42
employee,272,1,18,66875,31980,79,42
employee,186,1,15,37500,20400,84,42
manager,67,1,16,46000,21240,93,42
employee,61,1,8,22500,9750,94,42
employee,170,1,12,26550,15000,86,42
employee,309,1,15,26250,15750,77,42
employee,65,1,8,21900,14550,93,42
employee,376,1,15,29850,15750,70,42
employee,184,1,15,38850,15000,84,42
employee,469,0,15,25200,13950,64,42
employee,438,1,15,32400,15000,66,42
employee,419,1,15,29400,16500,67,42
employee,216,1,15,30150,15750,82,42
manager,387,1,19,65000,31980,69,42
employee,23,0,15,24000,11100,97,42
employee,435,1,15,40350,16500,66,42
employee,266,0,16,34500,17250,80,43
manager,408,1,19,61250,33000,68,43
employee,72,0,16,54000,18000,93,43
manager,187,1,16,58750,21750,84,43
manager,455,1,16,43650,19500,65,43
employee,310,1,16,44875,21240,77,43
manager,254,1,18,68125,32490,80,43
employee,218,1,15,80000,15750,82,43
manager,68,1,16,45250,21480,93,43
employee,145,1,12,26700,13500,88,43
employee,52,1,15,45150,15000,94,43
employee,28,1,15,32550,14250,96,43
manager,336,1,16,47250,21240,74,43
employee,43,1,12,23250,14250,95,43
manager,100,1,18,78250,27480,91,43
employee,282,1,14,27900,15000,79,43
manager,64,1,16,53125,21000,93,43
employee,118,0,12,31650,14250,90,43
employee,296,1,12,26850,15000,78,43
employee,109,1,12,30450,15000,91,43
employee,44,1,8,29250,14250,95,43
employee,203,1,12,29100,15000,83,43
employee,228,0,15,25650,14250,82,43
employee,36,0,8,31350,11250,96,43
employee,233,1,15,26550,15000,81,43
employee,292,1,14,25950,15000,78,43
employee,119,0,12,25200,14100,90,43
employee,271,1,15,27750,16500,79,43
employee,432,1,12,30750,15000,66,43
employee,428,1,15,31950,15750,67,43
